GUID 04bbd848499944be8104359f86d7c086
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 3023

Size_X 4
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Sight 3024
Magazine 3025

Hook_Sight
Hook_Grip
Hook_Barrel
Hook_Tactical

Ammo_Min 10
Ammo_Max 25

Safety
Semi
Burst
Auto

Bursts 3

Attachment_Calibers 1
Attachment_Caliber_0 1

Magazine_Calibers 1
Magazine_Caliber_0 63

Range 200
Firerate 4
Action Trigger

Player_Damage 36
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 36
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 35
Resource_Damage 15
Object_Damage 25

Durability 0.185

Spread_Aim 0.04
Spread_Hip 0.22

Recoil_Min_X -0.5
Recoil_Min_Y 3.5
Recoil_Max_X 0.5
Recoil_Max_Y 4.7

Recover_X 0.6
Recover_Y 0.8

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 3023
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
