GUID 3c8affc5b5824a21896fc615b99b9071
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 3100

Size_X 4
Size_Y 2
Size_Z 0.4

Barrel 3102
Sight 349
Magazine 3101

Hook_Sight
Hook_Grip

Ammo_Min 1
Ammo_Max 1

Safety
Semi

Caliber 76

Range 210
Firerate 50
Replace 0.843
Action String

Player_Damage 97
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.6
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.6

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Durability 0.75

Spread_Aim 0.001
Spread_Hip 0.2

Ballistic_Steps 35
Ballistic_Travel 6
Ballistic_Drop 0.00125

Recoil_Aim 0.25
Recoil_Min_X -5
Recoil_Min_Y 5
Recoil_Max_X 5
Recoil_Max_Y 10

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.1
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.15

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 3100
Blueprint_1_Product 67
Blueprint_1_Products 4
Blueprint_1_Build 27
