GUID 50e7cfcdac0c49c08f5cf7cb28afffb0
Type Dialogue
ID 4193

Messages 5

// Not met Colonel
Message_0_Pages 1
Message_0_Responses 1
Message_0_Response_0 0
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Bool
Message_0_Condition_0_ID 4013
Message_0_Condition_0_Value False
Message_0_Condition_0_Logic Equal
Message_0_Condition_0_Allow_Unset

// Food Ready
Message_1_Pages 1
Message_1_Conditions 2
Message_1_Condition_0_Type Quest
Message_1_Condition_0_Logic Equal
Message_1_Condition_0_ID 4199
Message_1_Condition_0_Status Completed
Message_1_Condition_1_Type Quest
Message_1_Condition_1_Logic Equal
Message_1_Condition_1_ID 4203
Message_1_Condition_1_Status None

// Charger Ready
Message_2_Pages 1
Message_2_Conditions 3
Message_2_Condition_0_Type Quest
Message_2_Condition_0_Logic Equal
Message_2_Condition_0_ID 4203
Message_2_Condition_0_Status Completed
Message_2_Condition_1_Type Quest
Message_2_Condition_1_Logic Equal
Message_2_Condition_1_ID 4206
Message_2_Condition_1_Status None
Message_2_Condition_2_Type Flag_Short
Message_2_Condition_2_ID 4014
Message_2_Condition_2_Value 5
Message_2_Condition_2_Logic Greater_Than_Or_Equal_To

// Charger Delivered
Message_3_Pages 1
Message_3_Conditions 1
Message_3_Condition_0_Type Quest
Message_3_Condition_0_Logic Equal
Message_3_Condition_0_ID 4206
Message_3_Condition_0_Status Completed

// Nothing Special
Message_4_Pages 1


Responses 9

// Not met Colonel
Response_0_Messages 1
Response_0_Message_0 0

// Phone Accept
Response_1_Dialogue 4201
Response_1_Quest 4199
Response_1_Conditions 2
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 4199
Response_1_Condition_0_Status None
Response_1_Condition_1_Type Flag_Bool
Response_1_Condition_1_Logic Equal
Response_1_Condition_1_ID 4198
Response_1_Condition_1_Value True
Response_1_Rewards 2
Response_1_Reward_0_Type Quest
Response_1_Reward_0_ID 4199
Response_1_Reward_0_Status Active
Response_1_Reward_1_Type Flag_Bool
Response_1_Reward_1_ID 4200
Response_1_Reward_1_Value False

// Phone Turn In
Response_2_Dialogue 4202
Response_2_Quest 4199
Response_2_Conditions 1
Response_2_Condition_0_Type Quest
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_ID 4199
Response_2_Condition_0_Status Ready
Response_2_Condition_0_Reset

// Food Accept
Response_3_Messages 1
Response_3_Message_0 1
Response_3_Dialogue 4204
Response_3_Quest 4203
Response_3_Conditions 1
Response_3_Condition_0_Type Quest
Response_3_Condition_0_Logic Equal
Response_3_Condition_0_ID 4203
Response_3_Condition_0_Status None
Response_3_Rewards 1
Response_3_Reward_0_Type Quest
Response_3_Reward_0_ID 4203
Response_3_Reward_0_Status Active

// Food Turn In
Response_4_Dialogue 4205
Response_4_Quest 4203
Response_4_Conditions 1
Response_4_Condition_0_Type Quest
Response_4_Condition_0_Logic Equal
Response_4_Condition_0_ID 4203
Response_4_Condition_0_Status Ready
Response_4_Condition_0_Reset

// Charger Accept
Response_5_Messages 1
Response_5_Message_0 2
Response_5_Dialogue 4208
Response_5_Quest 4206
Response_5_Conditions 1
Response_5_Condition_0_Type Quest
Response_5_Condition_0_Logic Equal
Response_5_Condition_0_ID 4206
Response_5_Condition_0_Status None
Response_5_Rewards 2
Response_5_Reward_0_Type Quest
Response_5_Reward_0_ID 4206
Response_5_Reward_0_Status Active
Response_5_Reward_1_Type Flag_Short
Response_5_Reward_1_ID 4207
Response_5_Reward_1_Value 0
Response_5_Reward_1_Modification Assign

// Charger Turn In
Response_6_Dialogue 4209
Response_6_Quest 4206
Response_6_Conditions 1
Response_6_Condition_0_Type Quest
Response_6_Condition_0_Logic Equal
Response_6_Condition_0_ID 4206
Response_6_Condition_0_Status Ready
Response_6_Condition_0_Reset

// Questions
Response_7_Dialogue 4194

