GUID 318182de2e6d4e629cc9e4af57ccf227
Type Small
ID 35160

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 4070
Condition_0_Value False
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 4070
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 4084
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment

Bundle_Override_Path /Objects/France/Small/Quests/France_Weapon_BP
Master_Bundle_Override france.masterbundle
