GUID 795c1b98417e4b5687677899176fdbd8
Type Spawn
ID 36750

Roots 11
Root_0_Spawn_ID 69
Root_0_Weight 20
Root_1_Spawn_ID 315
Root_1_Weight 20
Root_2_Spawn_ID 499
Root_2_Weight 20
Root_3_Spawn_ID 794
Root_3_Weight 20
Root_4_Spawn_ID 618
Root_4_Weight 20
Root_5_Spawn_ID 316
Root_5_Weight 20
Root_6_Spawn_ID 738
Root_6_Weight 20
Root_7_Spawn_ID 314
Root_7_Weight 20
Root_8_Spawn_ID 600
Root_8_Weight 20
Root_9_Spawn_ID 414
Root_9_Weight 20
Root_10_Spawn_ID 498
Root_10_Weight 20

Tables 72
//Snowmobile
Table_0_Asset_ID 36750
Table_0_Weight 3
Table_1_Asset_ID 36751
Table_1_Weight 3
Table_2_Asset_ID 36752
Table_2_Weight 3
Table_3_Asset_ID 36753
Table_3_Weight 3
Table_4_Asset_ID 36754
Table_4_Weight 3
Table_5_Asset_ID 36755
Table_5_Weight 3
Table_6_Asset_ID 36756
Table_6_Weight 3
Table_7_Asset_ID 36757
Table_7_Weight 3
//Phoenix Off-Road
Table_8_Asset_ID 36600
Table_8_Weight 1
Table_9_Asset_ID 36601
Table_9_Weight 1
Table_10_Asset_ID 36602
Table_10_Weight 1
Table_11_Asset_ID 36603
Table_11_Weight 1
Table_12_Asset_ID 36604
Table_12_Weight 1
Table_13_Asset_ID 36605
Table_13_Weight 1
Table_14_Asset_ID 36606
Table_14_Weight 1
Table_15_Asset_ID 36607
Table_15_Weight 1
//Exfive Off-Road
Table_16_Asset_ID 38170
Table_16_Weight 1
Table_17_Asset_ID 38171
Table_17_Weight 1
Table_18_Asset_ID 38172
Table_18_Weight 1
Table_19_Asset_ID 38173
Table_19_Weight 1
Table_20_Asset_ID 38174
Table_20_Weight 1
Table_21_Asset_ID 38175
Table_21_Weight 1
Table_22_Asset_ID 38176
Table_22_Weight 1
Table_23_Asset_ID 38177
Table_23_Weight 1
//Zipp 8 Off-Road
Table_24_Asset_ID 38570
Table_24_Weight 1
Table_25_Asset_ID 38571
Table_25_Weight 1
Table_26_Asset_ID 38572
Table_26_Weight 1
Table_27_Asset_ID 38573
Table_27_Weight 1
Table_28_Asset_ID 38574
Table_28_Weight 1
Table_29_Asset_ID 38575
Table_29_Weight 1
Table_30_Asset_ID 38576
Table_30_Weight 1
Table_31_Asset_ID 38577
Table_31_Weight 1
//Sprinter Off-Road
Table_32_Asset_ID 36430
Table_32_Weight 1
Table_33_Asset_ID 36431
Table_33_Weight 1
Table_34_Asset_ID 36432
Table_34_Weight 1
Table_35_Asset_ID 36433
Table_35_Weight 1
Table_36_Asset_ID 36434
Table_36_Weight 1
Table_37_Asset_ID 36435
Table_37_Weight 1
Table_38_Asset_ID 36436
Table_38_Weight 1
Table_39_Asset_ID 36437
Table_39_Weight 1
//Viking
Table_40_Asset_ID 36760
Table_40_Weight 1
Table_41_Asset_ID 36761
Table_41_Weight 1
Table_42_Asset_ID 36762
Table_42_Weight 1
Table_43_Asset_ID 36763
Table_43_Weight 1
Table_44_Asset_ID 36764
Table_44_Weight 1
Table_45_Asset_ID 36765
Table_45_Weight 1
Table_46_Asset_ID 36766
Table_46_Weight 1
Table_47_Asset_ID 36767
Table_47_Weight 1
//Bronco Survivor
Table_40_Asset_ID 36910
Table_40_Weight 1
Table_41_Asset_ID 36911
Table_41_Weight 1
Table_42_Asset_ID 36912
Table_42_Weight 1
Table_43_Asset_ID 36913
Table_43_Weight 1
Table_44_Asset_ID 36914
Table_44_Weight 1
Table_45_Asset_ID 36915
Table_45_Weight 1
Table_46_Asset_ID 36916
Table_46_Weight 1
Table_47_Asset_ID 36917
Table_47_Weight 1
//Husqvarna
Table_48_Asset_ID 36900
Table_48_Weight 3
Table_49_Asset_ID 36901
Table_49_Weight 3
Table_50_Asset_ID 36902
Table_50_Weight 3
Table_51_Asset_ID 36903
Table_51_Weight 3
Table_52_Asset_ID 36904
Table_52_Weight 3
Table_53_Asset_ID 36905
Table_53_Weight 3
Table_54_Asset_ID 36906
Table_54_Weight 3
Table_55_Asset_ID 36907
Table_55_Weight 3
//G80S
Table_56_Asset_ID 37110
Table_56_Weight 1
Table_57_Asset_ID 37111
Table_57_Weight 1
Table_58_Asset_ID 37112
Table_58_Weight 1
Table_59_Asset_ID 37113
Table_59_Weight 1
Table_60_Asset_ID 37114
Table_60_Weight 1
Table_61_Asset_ID 37115
Table_61_Weight 1
Table_62_Asset_ID 37116
Table_62_Weight 1
Table_63_Asset_ID 37117
Table_63_Weight 1
//G80S
Table_64_Asset_ID 37130
Table_64_Weight 1
Table_65_Asset_ID 37131
Table_65_Weight 1
Table_66_Asset_ID 37132
Table_66_Weight 1
Table_67_Asset_ID 37133
Table_67_Weight 1
Table_68_Asset_ID 37134
Table_68_Weight 1
Table_69_Asset_ID 37135
Table_69_Weight 1
Table_70_Asset_ID 37136
Table_70_Weight 1
Table_71_Asset_ID 37137
Table_71_Weight 1
