GUID 9b46a225f49641f8817ea9810c67bfe1
Type Barricade
Useable Barricade
Build Barricade
Rarity Epic
ID 5407

Size_X 6
Size_Y 6
Size_Z 0.45

Health 2000
Range 12
Radius 0.5
Offset 1.25

Explosion 28
Vulnerable

Allow_Placement_On_Vehicle False

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 5507
Blueprint_0_Supply_0_Amount 60
Blueprint_0_Supply_1_ID 66
Blueprint_0_Supply_1_Amount 60
Blueprint_0_Build 27
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Map Kuwait
Blueprint_0_Rewards 1
Blueprint_0_Reward_0_Type Achievement
Blueprint_0_Reward_0_ID Kuwait_HomeDecor
