GUID 586b10f994404b80acca779b0205d149
Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 5035

Size_X 5
Size_Y 3
Size_Z 0.55

Magazine 5036

Ammo_Min 5
Ammo_Max 35

Safety
Bursts 5

Caliber 5003

Range 200
Firerate 0
Action Trigger

Player_Damage 22
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 0.9
Player_Skull_Multiplier 1.1

Zombie_Damage 199
Zombie_Leg_Multiplier 0.4
Zombie_Arm_Multiplier 0.4
Zombie_Spine_Multiplier 0.9
Zombie_Skull_Multiplier 1.3

Animal_Damage 125
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 12
Vehicle_Damage 15
Resource_Damage 30
Object_Damage 30

Invulnerable

Durability 0.465

Spread_Aim 0.01
Spread_Hip 0.265

Recoil_Aim 1
Recoil_Min_X 2.5
Recoil_Min_Y 4
Recoil_Max_X 4
Recoil_Max_Y 8

Recover_X 0.275
Recover_Y 0.275

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 5255

Gunshot_Rolloff_Distance 800

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Supply_1_ID 5546
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Item
Blueprint_0_Condition_0_ID 5112
Blueprint_0_Condition_0_Amount 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5035
Blueprint_1_Product 67
Blueprint_1_Products 6
Blueprint_1_Build 27
Blueprint_2_Type Repair
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 67
Blueprint_2_Supply_0_Amount 4
Blueprint_2_Supply_1_ID 5546
Blueprint_2_Supply_1_Amount 2
Blueprint_2_Tool 5112
Blueprint_2_Tool_Critical
Blueprint_2_Level 3
Blueprint_2_Skill Repair
Blueprint_2_Build 27
