GUID fde21252368640ad857b9576f545ced8
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 5042

Size_X 5
Size_Y 2
Size_Z 0.35

Sight 5004
Magazine 6

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 10
Ammo_Max 30

Safety
Semi

Caliber 1

Range 350
Firerate 5
Action Trigger

Player_Damage 43
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 110
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 59
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 35
Resource_Damage 15
Object_Damage 25

Durability 0.1

Spread_Aim 0.05
Spread_Hip 0.1

Recoil_Min_X 2
Recoil_Min_Y 6.66
Recoil_Max_X 4
Recoil_Max_Y 8.33

Recoil_Crouch 0.85
Recoil_Prone .66

Spread_Prone 0.5
Spread_Crouch 0.6

Recover_X 0.4
Recover_Y 0.3

Shake_Min_X -0.0055
Shake_Min_Y 0.0075
Shake_Min_Z -0.02
Shake_Max_X 0.01
Shake_Max_Y -0.005
Shake_Max_Z -0.055

Muzzle 3

Gunshot_Rolloff_Distance 1500

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Item
Blueprint_0_Condition_0_ID 5112
Blueprint_0_Condition_0_Amount 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5042
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
Blueprint_2_Type Repair
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 67
Blueprint_2_Supply_0_Amount 3
Blueprint_2_Tool 5112
Blueprint_2_Tool_Critical
Blueprint_2_Level 2
Blueprint_2_Skill Repair
Blueprint_2_Build 27
