GUID c0169ff32d4b42d2a20d6cca093a4423
Type Barrel
ID 5078

Size_X 2
Size_Y 1
Size_Z 0.125

Silenced 
Volume 0.8
Durability 5

Ballistic_Drop 1.2

Damage 0.8

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 5538
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 5537
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27
Blueprint_1_Type Repair
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 5538
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_1_ID 5537
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Level 1
Blueprint_1_Skill Repair
Blueprint_1_Build 27

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Barrels/Makeshift_Muffler
