GUID a365167f692d4110833174e535b68e1b
Type Barricade
Rarity Epic
Useable Barricade
Build Fortification
ID 5456

Size_X 2
Size_Y 1
Size_Z 0.35

Health 700
Range 4
Radius 0.5

Explosion 35

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 7
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27
Blueprint_0_Map Kuwait

Armor_Tier High

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Barricades/Fortification_Bars

PlacementAudioClip Sounds/MetalPlacement.mp3
