GUID 16744de9a0c84ae5bd5481af04f940ad
Type Barricade
Rarity Uncommon
Useable Barricade
Build Glass
ID 5458

Size_X 2
Size_Y 2
Size_Z 0.45

Health 400
Range 4
Radius 0.5

Explosion 96
Vulnerable

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Level 1
Blueprint_0_Skill Cook
Blueprint_0_Build 27
Blueprint_0_Map Kuwait

Use_Water_Height_Transparent_Sort

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Barricades/Glass_Weak

PlacementAudioClip Sounds/MetalPlacement.mp3
