GUID eb6f50fc256740bd922dc9aa0640a2a2
Type Backpack
Rarity Rare
Useable Clothing
ID 5609

Size_X 1
Size_Y 2
Size_Z 0.6

Width 2
Height 4

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 5609
Blueprint_0_Product 67
Blueprint_0_Products 3
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Build 32

Proof_Water

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Backpacks/Diving_Tank
