GUID efe8cfc6c3f04392a6bda14984c329ed
Type Pants
Rarity Uncommon
Useable Clothing
ID 5683

Size_X 2
Size_Y 2
Size_Z 0.65

Width 4
Height 3

Armor 0.95

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 5683
Blueprint_0_Product 66
Blueprint_0_Products 2
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 32

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Pants/Medic_Bottom
