GUID a20f9ed600944b18a2a02121121b84c5
Type Shirt
Rarity Uncommon
Useable Clothing
ID 5700

Size_X 3
Size_Y 2
Size_Z 0.6

Width 5
Height 3

Armor 0.95

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 5700
Blueprint_0_Product 66
Blueprint_0_Products 2
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 32

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Shirts/Chef_Top
