GUID d62f345379c84b078dc8843b05011dbd
Type Vest
Rarity Rare
Useable Clothing
ID 5742

Size_X 2
Size_Y 2
Size_Z 0.5

Width 5
Height 4

Armor 0.8

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 5742
Blueprint_0_Product 67
Blueprint_0_Products 3
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 6
Blueprint_1_Build 32

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Vests/Vest_Police
