GUID 89736445816643d781e45f3d2a1ca90e
Type Magazine
Rarity Uncommon
ID 5031

Size_X 2
Size_Y 1
Size_Z 0.2

Amount 1

Calibers 1
Caliber_0 15

Tracer 48

Stuck 5

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5031
Blueprint_1_Product 67
Blueprint_1_Products 1
Blueprint_1_Build 27
Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 67
Blueprint_2_Supply_0_Amount 2
Blueprint_2_Product 5031
Blueprint_2_Products 1
Blueprint_2_Build 27
Blueprint_2_Map Kuwait

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Magazines/Arrow_1
