GUID 3cdabd087fb64eba823af3c607f8b96a
Type Throwable
Rarity Rare
Useable Throwable
ID 5105

Size_X 1
Size_Y 1
Size_Z 0.3

Player_Damage 175
Zombie_Damage 175
Animal_Damage 175
Barricade_Damage 100
Structure_Damage 100
Vehicle_Damage 100
Resource_Damage 1000
Object_Damage 500

Range 8
Explosion 34
Fuse_Length 1.25

Explosive

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 5507
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 73
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Products 1
Blueprint_0_Product_0_ID 5105
Blueprint_0_Product_0_Amount 4
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 32

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Throwables/Grenade
