GUID 6f3c7204b4c94a2b83ea8ab1c154ede5
Type Magazine
Rarity Epic
ID 5130

Size_X 1
Size_Y 1
Size_Z 0.25

Amount 6
Count_Min 6
Count_Max 6

Calibers 1
Caliber_0 5126

Pellets 1
Spread 0.2
Ballistic_Damage_Multiplier 5.5

Range 5
Player_Damage 10
Zombie_Damage 90
Animal_Damage 50
Barricade_Damage 40
Structure_Damage 40
Vehicle_Damage 35
Resource_Damage 40
Object_Damage 40
Explosion 5277
Explosive

Tracer 48

Recoil_X 1.15
Recoil_Y 1.15

Blueprints 1
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 5130
Blueprint_0_Build 30

Delete_Empty
