GUID fcedbf684a3b476cba3fa98c09009798
Type Melee
Rarity Uncommon
Useable Melee
Slot Secondary
ID 5049

Size_X 1
Size_Y 2
Size_Z 0.6
Size2_Z 0.6

Range 2.5
Strength 1.5
Stamina 7

Player_Damage 15
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 22
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 5
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 1
Structure_Damage 1
Vehicle_Damage 1
Resource_Damage 5
Object_Damage 2

Durability 1
Wear 5
Quality_Min 100
Quality_Max 100

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 516
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5049
Blueprint_1_Product 516
Blueprint_1_Products 1
Blueprint_1_Build 27


Should_Delete_At_Zero_Quality True
