GUID 03ffb778488b47b2909c92823f32dd04
Type Quest
ID 28205

Conditions 6
Condition_0_Type Item
Condition_0_ID 5262
Condition_0_Amount 3
Condition_0_Reset
Condition_1_Type Item
Condition_1_ID 5263
Condition_1_Amount 3
Condition_1_Reset
Condition_2_Type Item
Condition_2_ID 5264
Condition_2_Amount 3
Condition_2_Reset
Condition_3_Type Item
Condition_3_ID 5265
Condition_3_Amount 3
Condition_3_Reset
Condition_4_Type Item
Condition_4_ID 5266
Condition_4_Amount 3
Condition_4_Reset
Condition_5_Type Item
Condition_5_ID 5267
Condition_5_Amount 3
Condition_5_Reset

Rewards 3
Reward_0_Type Experience
Reward_0_Value 50
Reward_1_Type Reputation
Reward_1_Value 5
Reward_2_Type Flag_Short
Reward_2_ID 27000
Reward_2_Value 3
Reward_2_Modification Increment
