GUID 057b85f3f3aa4218be51b034bc4fe083
Type Quest
ID 28260

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 28261
Condition_0_Value False
Condition_0_Logic Equal
Condition_1_Type Flag_Bool
Condition_1_ID 28262
Condition_1_Value False
Condition_1_Logic Equal

Rewards 4
Reward_0_Type Experience
Reward_0_Value 100
Reward_1_Type Reputation
Reward_1_Value 10
Reward_2_Type Flag_Bool
Reward_2_ID 28264
Reward_2_Value True
Reward_2_Logic Equal
Reward_3_Type Flag_Short
Reward_3_ID 27000
Reward_3_Value 2
Reward_3_Modification Increment

// If you're copying things, at least credit NSTM.
