GUID ffa2dbe5e4ee41728d5fa8bee3394895
Type Dialogue
ID 26080

// Hello!
Messages 1
Message_0_Pages 1

Responses 3

// Spawn table for mechanic items is 7116.
// Response 0 when no quest.
Response_0_Dialogue 26081
Response_0_Quest 26075
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 26075
Response_0_Condition_0_Status Ready	
Response_0_Condition_0_Reset

// Response 3 when the questioning begins.
Response_1_Dialogue 26073
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_ID 25040
Response_1_Condition_0_Status None
Response_1_Condition_0_Logic Not_Equal

// Response 2 exit

// If you're copying things, at least credit NSTM.
