GUID 1380efb9348c4863add5bc09c9d6fdeb
Type Dialogue
ID 29401

Messages 1
 
Message_0_Pages 1

Responses 4

Response_0_Dialogue 29404

Response_1_Dialogue 29402
Response_1_Quest 29405
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 29405
Response_1_Condition_0_Status None
Response_1_Rewards 1
Response_1_Reward_0_Type Quest
Response_1_Reward_0_ID 29405

Response_2_Dialogue 29403
Response_2_Quest 29405
Response_2_Conditions 1
Response_2_Condition_0_Type Quest
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_ID 29405
Response_2_Condition_0_Status Ready
Response_2_Condition_0_Reset
