GUID 0de20ad5218d4d2ca694de39c58cfad8
Type Quest
ID 29635

Conditions 3
Condition_0_Type Item
Condition_0_ID 5461
Condition_0_Amount 1
Condition_0_Reset
Condition_1_Type Item
Condition_1_ID 5464
Condition_1_Amount 2
Condition_1_Reset
Condition_2_Type Item
Condition_2_ID 5465
Condition_2_Amount 1
Condition_2_Reset

Rewards 3
Reward_0_Type Experience
Reward_0_Value 100
Reward_1_Type Reputation
Reward_1_Value 10
Reward_2_Type Flag_Short
Reward_2_ID 29300
Reward_2_Value 1
Reward_2_Modification Increment

// You're here for the object breaking quest, aren't you?
