GUID 596cefa16b2443ce80aa4ecca71da24f
Type Gun
Rarity Uncommon
Useable Gun
Slot Secondary
ID 51110

Size_X 1
Size_Y 1
Size_Z 0.15

Magazine 51111

Ammo_Min 2
Ammo_Max 2

Safety
Semi

Caliber 51110

Range 90
Firerate 5
Action Break

Player_Damage 60
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 110
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.1

Animal_Damage 60
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 20
Object_Damage 25

Durability 0.1

Spread_Aim 0.05
Spread_Hip 0.1

Recoil_Min_X -4
Recoil_Min_Y 25
Recoil_Max_X 4
Recoil_Max_Y 38

Recover_X 0.8
Recover_Y 0.8

Shake_Min_X -0.01
Shake_Min_Y -0.04
Shake_Min_Z -0.06
Shake_Max_X 0.01
Shake_Max_Y -0.04
Shake_Max_Z -0.07

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 51110
Blueprint_1_Product 67
Blueprint_1_Products 1
Blueprint_1_Build 27
