GUID 9f82781b96734c80aa497d17b2bb609d
Type Gun
Rarity Uncommon
Useable Gun
Slot Secondary
ID 51420

Size_X 1
Size_Y 1
Size_Z 0.17

Magazine 51421
Barrel 51423

Ammo_Min 20
Ammo_Max 40

Semi

Caliber 51420

Range 1
Firerate 300
Action Break

Player_Damage 0
Player_Leg_Multiplier 0
Player_Arm_Multiplier 0
Player_Spine_Multiplier 0
Player_Skull_Multiplier 0

Zombie_Damage 0
Zombie_Leg_Multiplier 0
Zombie_Arm_Multiplier 0
Zombie_Spine_Multiplier 0
Zombie_Skull_Multiplier 0

Animal_Damage 0
Animal_Leg_Multiplier 0
Animal_Spine_Multiplier 0
Animal_Skull_Multiplier 0

Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 0

Durability 0

Ballistic_Steps 250
Ballistic_Travel 0.01

Spread_Aim 0
Spread_Hip 0

Recoil_Min_X 0
Recoil_Min_Y 0
Recoil_Max_X 0
Recoil_Max_Y 0

Recover_X 1
Recover_Y 1

Shake_Min_X 0
Shake_Min_Y -0.2
Shake_Min_Z 0
Shake_Max_X 0
Shake_Max_Y -0.2
Shake_Max_Z 0

Muzzle 1420

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 51420
Blueprint_1_Product 67
Blueprint_1_Products 1
Blueprint_1_Build 27
