GUID bbea4038e7aa4ff1a19ebd618bbc680a
Type Gun
Rarity Rare
Useable Gun
Slot Secondary
ID 51316

Size_X 3
Size_Y 2
Size_Z 0.46

Magazine 51317

Hook_Barrel
Hook_Tactical

Ammo_Min 10
Ammo_Max 20

Safety
Semi
Auto

Caliber 51316

Range 100
Firerate 4
Action Trigger

Replace 0.76

Player_Damage 30
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 32
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 12
Structure_Damage 12
Vehicle_Damage 25
Resource_Damage 15
Object_Damage 20

Durability 0.25

Spread_Aim 0.05
Spread_Hip 0.13

Recoil_Min_X -1
Recoil_Min_Y 3.5
Recoil_Max_X 1
Recoil_Max_Y 4

Recover_X 0.8
Recover_Y 0.6

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.035
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.04

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 51316
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
